n,sortusingbst.time
100,0
200,0
300,0
400,1
500,1
600,2
700,3
800,3
900,5
1000,5
1100,7
1200,7
1300,8
1400,10
1500,11
1600,14
1700,15
1800,15
1900,17
2000,20
2100,25
2200,24
2300,27
2400,29
2500,31
2600,35
2700,42
2800,43
2900,45
3000,48
3100,55
3200,52
3300,57
3400,61
3500,69
3600,70
3700,75
3800,77
3900,86
4000,88
4100,95
4200,99
4300,103
4400,110
4500,111
4600,118
4700,127
4800,132
4900,140
5000,148
5100,149
5200,153
5300,159
5400,166
5500,169
5600,184
5700,184
5800,194
5900,199
6000,206
6100,212
6200,225
6300,237
6400,234
6500,243
6600,254
6700,261
6800,273
6900,281
7000,281
7100,303
7200,297
7300,316
7400,319
7500,337
7600,329
7700,366
7800,351
7900,347
8000,373
8100,364
8200,395
8300,393
8400,399
8500,409
8600,418
8700,411
8800,435
8900,462
9000,453
9100,473
9200,473
9300,479
9400,515
9500,523
9600,537
9700,537
9800,554
9900,568
