n,allocates.time
0,1
500,71
1000,64
1500,91
2000,105
2500,129
3000,154
3500,180
4000,204
4500,233
5000,256
5500,276
6000,303
6500,327
7000,355
7500,378
8000,400
8500,424
9000,450
9500,478
